S.No,un_number,proper_shipping_name,simplified_name,hazard_class,subsidiary_risks,packing_group,hazard_labels_required,erg_guide_number,special_provisions,qty_ltd_passenger_aircraft,packing_instruction_passenger_aircraft,qty_ltd_cargo_aircraft,packing_instruction_cargo_aircraft,description_notes,is_marine_pollutant,is_environmentally_hazardous
81,3145 ,"Alkylphenols, liquid, n.o.s. (including C2- C12 homologues)","Alkylphenols liquid, Alkylphenols",8,,,Corrosive,153,,,,,,,FALSE,FALSE
82,2430 ,"Alkylphenols, solid, n.o.s. (including C2- C12 homologues)","Alkylphenols solid, Alkylphenols",8,,,Corrosive,153,,,,,,,FALSE,FALSE
83,2586 ,"Alkylsulphonic acids, liquid  with 5% or less free sulphuric acid","Alkylsulphonic acids, Alkylsulphonic,acids",8,,,Corrosive,153,,,,,,,FALSE,FALSE
84,2584 ,"Alkylsulphonic acids, liquid (with more than 5% free sulphuric acid)","Alkylsulphonic acids, Alkylsulphonic, acids",8,,,Corrosive,153,,,,,,,FALSE,FALSE
85,2585,"Alkylsulphonic acids, solid ","Alkylsulphonic acids, Alkylsulphonic, acids",8,,,Corrosive,153,,,,,,,FALSE,FALSE
86,2583,"Alkylsulphonic acids, solid (with more than 5% free sulphuric acid)","Alkylsulphonic acids, Alkylsulphonic, acids",8,,,Corrosive,153,,,,,,,FALSE,FALSE
87,2571 ,Alkylsulphuric acids,"Alkylsulphuric acids, Alkylsulphuric, acids",8,,,Corrosive,156,,,,,,,FALSE,FALSE
88,2333 ,Allyl acetate ,"Allyl acetate, Allyl, acetate",3,6.1,,Flamm. liquid & Toxic,131,,,,,,,FALSE,FALSE
89,1098,Allyl alcohol ,"Allyl alcohol, Allyl, alcohol",6.1,3,,,131,,,,,,,FALSE,FALSE
90,2334 ,Allylamine ,Allylamine,6.1,3,,,131,,,,,,,FALSE,FALSE
91,1099 ,Allyl bromide ,"Allyl bromide, Allyl, bromide",3,6.1,,Flamm. liquid & Toxic,131P,,,,,,,FALSE,FALSE
92,1100 ,Allyl chloride ,"Allyl chloride, Allyl, chloride",3,6.1,,Flamm. liquid,131P,,,,,,,FALSE,FALSE
93,1722 ,Allyl chloroformate ,"Allyl chloroformate, Allyl, chloromate",6.1,"3,8",,,155,,,,,,,FALSE,FALSE
94,2335 ,Allyl ethyl ether ,"Allyl ethyl ether, Allyl, ethyl, ether",3,6.1,,Flamm. liquid & Toxic,131,,,,,,,FALSE,FALSE
95,2336 ,Allyl formate,"Allyl formate, Allyl, formate",3,6.1,,Flamm. liquid & Toxic,131,,,,,,,FALSE,FALSE
